sample,site,LAYER,pH,Mass_g,N,C,Nmg,H,CN,wt_g
WW01OR,WW,1,3.790733333,0.1287,2.3582,47.341,2.9629,6.1788,20.07505725,17.17
WW02OR,WW,1,3.4274,0.1227,2.3418,46.109,2.8053,6.0505,19.68955504,14.05
WW03OR,WW,1,3.484066667,0.131,2.5048,46.111,3.2034,6.1432,18.40905462,24.77
WW04OR,WW,1,3.460733333,0.1805,2.1897,48.733,3.8587,6.1536,22.25556012,16.74
WW05OR,WW,1,3.685366667,0.1908,2.5375,43.87,4.7267,5.7145,17.28866995,17.31
YW01OR,YW,1,3.1774,0.1721,2.0319,47.192,3.4139,5.8192,23.22555244,21.26
YW02OR,YW,1,3.1487,0.1535,1.5692,32.967,2.3515,4.3604,21.00879429,26.07
YW03OR,YW,1,3.194066667,0.1667,1.9435,47.58,3.163,5.9798,24.48160535,21.06
YW04OR,YW,1,3.084066667,0.1627,1.8384,43.234,2.9201,5.5967,23.51718886,21.24
YW05OR,YW,1,3.024066667,0.1597,2.0613,49.595,3.2137,6.2602,24.06005919,18.72
MS01,MS,1,,,,,,,,130.98
MS02,MS,1,,,,,,,,107.21
MS03,MS,1,,,,,,,,105.59
